Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate
4,3.429315699032408,0.003910013338541704,social,8.478174486998954,0,0.01
4,1.621052045863385,0.003979861064942929,organic,9.636169627400935,2,0.01
5,3.6292789551861424,0.00180457684705222,organic,2.071924676446509,3,0.01
5,4.235843279057931,0.0029154087350930307,paid,1.9606538296835625,5,0.01
3,4.541867820189699,0.004207400490026312,social,3.438711547796116,2,0.01
5,1.9495580162309407,0.000349781570158815,social,2.1192714722548773,1,0.01
4,1.6857397554121445,0.002523427595625629,paid,3.4780157014833533,5,0.01
6,0.0332680331834028,0.00120702770574107,organic,5.285519080243383,1,0.01
7,7.833741754811087,0.002127268859236291,paid,4.060115222739396,5,0.01
2,2.773784434424699,0.004857678223385693,direct,2.9736527872816234,3,0.01
5,0.6812812938933654,0.004538905515767142,referral,1.4990085570331235,0,0.01
5,7.562350901457057,0.002635519765790136,social,9.68859191827762,0,0.01
6,7.392909562806381,0.002633359443463259,paid,4.981015475004269,2,0.01
6,6.215767159872134,0.002966410058170743,paid,10.028903177808292,2,0.01
1,0.8418659136590263,0.0024931638140790278,social,8.303624479819767,1,0.01
7,5.540223444247188,0.002566845470224227,paid,8.79349224549781,3,0.01
2,5.19529648769634,0.001729777360004424,paid,2.88998002366816,2,0.01
11,0.7877602686116874,0.002516407259960402,organic,11.69293806671197,5,0.01
4,0.3108778925904152,0.006443099889585625,organic,4.164912574168854,4,0.01
8,1.0530353932538,0.0018358971565950871,organic,3.727506649888684,2,0.01
3,6.141313177985501,0.000931458395300509,social,5.083885619406432,2,0.01
3,0.0124070846501974,0.0011882826239410442,referral,1.3362649572248342,3,0.01
5,0.063746928355616,0.000560941217204222,social,7.053034390259116,1,0.01
8,1.881355422317819,0.000132641641178454,direct,2.1077428505750926,2,0.01
3,0.8182412064917589,0.001580981551151219,referral,15.022219699523305,3,0.01
2,3.5120133708249206,0.001350331065052273,social,1.5528284464131656,0,0.009630796688606292
5,2.501122170816019,0.001237309497639832,organic,3.296032105806264,2,0.01
3,0.2419575224050296,0.004444082062720181,referral,2.638993031698373,2,0.008685932750242634
8,0.5324616499450573,0.002509032190407618,social,0.9660238146126964,2,0.01
10,1.4733105190261189,0.002134857990452205,organic,9.004402386978137,1,0.01
3,0.6159258699612696,0.0007553622197854171,referral,1.9512684578896329,1,0.009722766323111524
